Name,Country,Political Group,National Party,Role,Profile URL
Danilo DELLA VALLE,Italy,The Left group in the European Parliament - GUE/NGL,Movimento 5 Stelle (Italy),Member,https://www.europarl.europa.eu/meps/en/257155/DANILO_DELLA+VALLE/home
Ruth FIRMENICH,Germany,Non-attached Members,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (Germany),Member,https://www.europarl.europa.eu/meps/en/25758/RUTH_FIRMENICH/home
Sandra GÓMEZ LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Member,https://www.europarl.europa.eu/meps/en/256997/SANDRA_GOMEZ+LOPEZ/home
Hana JALLOUL MURO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Member,https://www.europarl.europa.eu/meps/en/256992/HANA_JALLOUL+MURO/home
Marc JONGEN,Germany,Europe of Sovereign Nations Group,Alternative für Deutschland (Germany),Member,https://www.europarl.europa.eu/meps/en/256942/MARC_JONGEN/home
Mariusz KAMIŃSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Member,https://www.europarl.europa.eu/meps/en/257056/MARIUSZ_KAMINSKI/home
Thierry MARIANI,France,Patriots for Europe Group,Rassemblement national (France),Member,https://www.europarl.europa.eu/meps/en/197623/THIERRY_MARIANI/home
Tiago MOREIRA DE SÁ,Portugal,Patriots for Europe Group,Chega (Portugal),Member,https://www.europarl.europa.eu/meps/en/257054/TIAGO_MOREIRA+DE+SA/home
Ştefan MUŞOIU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat (Romania),Member,https://www.europarl.europa.eu/meps/en/257103/STEFAN_MUSOIU/home
Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen (Germany),Member,https://www.europarl.europa.eu/meps/en/197464/HANNAH_NEUMANN/home
Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands (Germany),Member,https://www.europarl.europa.eu/meps/en/124836/MARIA_NOICHL/home
Jan-Christoph OETJEN,Germany,Renew Europe Group,Freie Demokratische Partei (Germany),Member,https://www.europarl.europa.eu/meps/en/197432/JAN-CHRISTOPH_OETJEN/home
Aodhán Ó RÍORDÁIN,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party (Ireland),Member,https://www.europarl.europa.eu/meps/en/257238/AODHAN_O+RIORDAIN/home
Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,Staatkundig Gereformeerde Partij (Netherlands),Member,https://www.europarl.europa.eu/meps/en/197773/BERT-JAN_RUISSEN/home
Ilaria SALIS,Italy,The Left group in the European Parliament - GUE/NGL,Alleanza Verdi e Sinistra (Italy),Member,https://www.europarl.europa.eu/meps/en/257127/ILARIA_SALIS/home
Alice TEODORESCU MÅWE,Sweden,Group of the European People's Party (Christian Democrats),Kristdemokraterna (Sweden),Member,https://www.europarl.europa.eu/meps/en/257089/ALICE_TEODORESCU+MAWE/home
Waldemar TOMASZEWSKI,Lithuania,European Conservatives and Reformists Group,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga (Lithuania),Member,https://www.europarl.europa.eu/meps/en/96697/WALDEMAR_TOMASZEWSKI/home
Adrián VÁZQUEZ LÁZARA,Spain,Group of the European People's Party (Christian Democrats),Partido Popular (Spain),Member,https://www.europarl.europa.eu/meps/en/204400/ADRIAN_VAZQUEZ+LAZARA/home
